,name,c-x,c-y,radius
0,20130320T005932.773614.Cam6_22.csv,134.17,33.61,23.98
1,20130320T005932.773614.Cam6_22.csv,173.61,26.39,22.03
2,20130320T005932.773614.Cam6_22.csv,259.72,26.39,22.03
3,20130320T005932.773614.Cam6_22.csv,294.44,37.22,21.2
4,20130320T005932.773614.Cam6_22.csv,244.17,53.06,20.09
5,20130320T005932.773614.Cam6_22.csv,263.06,63.89,23.42
6,20130320T005932.773614.Cam6_22.csv,305.0,73.33,19.25
7,20130320T005932.773614.Cam6_22.csv,245.56,92.22,18.42
8,20130320T005932.773614.Cam6_22.csv,246.39,103.33,19.25
9,20130320T005932.773614.Cam6_22.csv,285.28,107.78,22.03
