,name,c-x,c-y,radius
0,20130320T013134.146211_43.csv,224.72,157.78,15.92
1,20130320T013134.146211_43.csv,251.11,150.56,15.92
2,20130320T013134.146211_43.csv,237.5,126.94,15.92
3,20130320T013134.146211_43.csv,269.17,136.39,16.75
4,20130320T013134.146211_43.csv,301.67,170.0,17.59
5,20130320T013134.146211_43.csv,138.61,142.22,15.92
6,20130320T013134.146211_43.csv,163.33,33.61,16.48
7,20130320T013134.146211_43.csv,182.78,41.11,16.48
8,20130320T013134.146211_43.csv,216.11,23.61,16.48
9,20130320T013134.146211_43.csv,68.89,150.83,16.48
