,name,c-x,c-y,radius
0,20130320T005100.953457.Cam6_21_aug_0.csv,172.84,200.97,16.13
1,20130320T005100.953457.Cam6_21_aug_0.csv,194.45,194.52,16.13
2,20130320T005100.953457.Cam6_21_aug_0.csv,181.23000000000002,170.32,19.03
3,20130320T005100.953457.Cam6_21_aug_0.csv,205.1,130.97,19.03
4,20130320T005100.953457.Cam6_21_aug_0.csv,208.97,98.06,17.09
5,20130320T005100.953457.Cam6_21_aug_0.csv,227.35,99.03,17.09
6,20130320T005100.953457.Cam6_21_aug_0.csv,185.74,75.81,18.06
7,20130320T005100.953457.Cam6_21_aug_0.csv,151.87,62.26,18.06
8,20130320T005100.953457.Cam6_21_aug_0.csv,136.39,88.71,18.06
9,20130320T005100.953457.Cam6_21_aug_0.csv,143.81,26.13,18.06
10,20130320T005100.953457.Cam6_21_aug_0.csv,178.65,38.39,18.06
11,20130320T005100.953457.Cam6_21_aug_0.csv,205.1,11.29,20.32
