,name,c-x,c-y,radius
0,20130320T013143.098770_11_aug_1.csv,212.17000000000002,143.33,16.2
1,20130320T013143.098770_11_aug_1.csv,139.94,185.0,15.64
2,20130320T013143.098770_11_aug_1.csv,135.22,155.56,15.64
3,20130320T013143.098770_11_aug_1.csv,151.89,151.39,15.64
4,20130320T013143.098770_11_aug_1.csv,131.06,133.06,15.92
5,20130320T013143.098770_11_aug_1.csv,138.56,114.72,17.03
6,20130320T013143.098770_11_aug_1.csv,113.0,106.11,17.03
7,20130320T013143.098770_11_aug_1.csv,150.78,116.11,17.03
8,20130320T013143.098770_11_aug_1.csv,144.67,87.5,17.03
9,20130320T013143.098770_11_aug_1.csv,169.94,70.28,17.03
