,name,c-x,c-y,radius
0,20130320T004443.802883.Cam6_42_aug_3.csv,213.63,62.81,28.14
1,20130320T004443.802883.Cam6_42_aug_3.csv,206.75,119.37,24.39
2,20130320T004443.802883.Cam6_42_aug_3.csv,214.88,136.56,24.39
3,20130320T004443.802883.Cam6_42_aug_3.csv,254.56,128.44,28.14
4,20130320T004443.802883.Cam6_42_aug_3.csv,250.19,138.12,28.14
5,20130320T004443.802883.Cam6_42_aug_3.csv,223.0,147.19,28.14
6,20130320T004443.802883.Cam6_42_aug_3.csv,181.44,148.75,22.51
7,20130320T004443.802883.Cam6_42_aug_3.csv,11.439999999999998,165.94,22.51
8,20130320T004443.802883.Cam6_42_aug_3.csv,24.560000000000002,171.25,20.95
9,20130320T004443.802883.Cam6_42_aug_3.csv,240.5,9.69,20.95
10,20130320T004443.802883.Cam6_42_aug_3.csv,203.31,5.62,20.95
11,20130320T004443.802883.Cam6_42_aug_3.csv,288.94,2.19,19.39
12,20130320T004443.802883.Cam6_42_aug_3.csv,152.38,106.56,20.64
