,name,c-x,c-y,radius
0,20130320T013348.434697_21_aug_6.csv,91.94,153.33,22.03
1,20130320T013348.434697_21_aug_6.csv,63.06,173.89,21.2
2,20130320T013348.434697_21_aug_6.csv,146.39,167.78,28.42
3,20130320T013348.434697_21_aug_6.csv,217.78,111.94,20.92
4,20130320T013348.434697_21_aug_6.csv,191.11,96.94,23.7
5,20130320T013348.434697_21_aug_6.csv,152.5,83.61,25.09
6,20130320T013348.434697_21_aug_6.csv,203.61,49.72,25.09
7,20130320T013348.434697_21_aug_6.csv,226.11,43.61,21.75
8,20130320T013348.434697_21_aug_6.csv,214.17,5.56,21.75
9,20130320T013348.434697_21_aug_6.csv,165.83,21.67,26.2
