,name,c-x,c-y,radius
0,20130320T005422.481469.Cam6_41_aug_3.csv,167.22,165.56,18.42
1,20130320T005422.481469.Cam6_41_aug_3.csv,62.22,100.83,16.75
2,20130320T005422.481469.Cam6_41_aug_3.csv,73.33,72.5,16.75
3,20130320T005422.481469.Cam6_41_aug_3.csv,65.28,73.33,16.75
4,20130320T005422.481469.Cam6_41_aug_3.csv,207.5,96.11,18.14
5,20130320T005422.481469.Cam6_41_aug_3.csv,185.56,58.33,18.98
6,20130320T005422.481469.Cam6_41_aug_3.csv,165.83,55.0,15.64
7,20130320T005422.481469.Cam6_41_aug_3.csv,197.22,21.67,15.92
8,20130320T005422.481469.Cam6_41_aug_3.csv,218.61,22.78,17.87
9,20130320T005422.481469.Cam6_41_aug_3.csv,255.0,45.28,20.09
10,20130320T005422.481469.Cam6_41_aug_3.csv,259.44,66.94,17.03
11,20130320T005422.481469.Cam6_41_aug_3.csv,287.78,23.61,14.25
12,20130320T005422.481469.Cam6_41_aug_3.csv,295.0,57.78,16.48
