,name,c-x,c-y,radius
0,20130320T013317.195923_22_aug_3.csv,45.28,144.72,13.98
1,20130320T013317.195923_22_aug_3.csv,43.06,120.28,15.09
2,20130320T013317.195923_22_aug_3.csv,35.56,116.67,15.09
3,20130320T013317.195923_22_aug_3.csv,205.56,176.11,15.09
4,20130320T013317.195923_22_aug_3.csv,180.56,101.67,16.2
5,20130320T013317.195923_22_aug_3.csv,180.28,74.72,15.09
6,20130320T013317.195923_22_aug_3.csv,173.33,64.44,14.25
7,20130320T013317.195923_22_aug_3.csv,218.33,71.67,16.2
8,20130320T013317.195923_22_aug_3.csv,196.94,47.22,16.2
9,20130320T013317.195923_22_aug_3.csv,189.17,19.72,16.2
