,name,c-x,c-y,radius
0,20130320T004735.806461.Cam6_41_aug_1.csv,177.31,132.31,20.65
1,20130320T004735.806461.Cam6_41_aug_1.csv,200.38,147.31,20.65
2,20130320T004735.806461.Cam6_41_aug_1.csv,139.62,133.85,18.73
3,20130320T004735.806461.Cam6_41_aug_1.csv,128.08,159.23,18.73
4,20130320T004735.806461.Cam6_41_aug_1.csv,126.54,131.92,18.73
5,20130320T004735.806461.Cam6_41_aug_1.csv,73.85,117.69,17.57
6,20130320T004735.806461.Cam6_41_aug_1.csv,66.92,170.0,17.57
7,20130320T004735.806461.Cam6_41_aug_1.csv,157.69,69.23,17.57
8,20130320T004735.806461.Cam6_41_aug_1.csv,223.85,41.54,17.57
9,20130320T004735.806461.Cam6_41_aug_1.csv,208.46,17.69,18.34
10,20130320T004735.806461.Cam6_41_aug_1.csv,277.31,103.85,19.5
11,20130320T004735.806461.Cam6_41_aug_1.csv,295.77,125.38,19.5
