,name,c-x,c-y,radius
0,20130320T013103.288447_23_aug_0.csv,151.67,200.56,14.81
1,20130320T013103.288447_23_aug_0.csv,91.94,144.72,17.87
2,20130320T013103.288447_23_aug_0.csv,44.44,119.17,19.53
3,20130320T013103.288447_23_aug_0.csv,81.94,95.56,17.87
4,20130320T013103.288447_23_aug_0.csv,53.06,85.28,19.81
5,20130320T013103.288447_23_aug_0.csv,68.61,59.72,19.81
6,20130320T013103.288447_23_aug_0.csv,30.0,60.83,19.81
7,20130320T013103.288447_23_aug_0.csv,68.61,7.5,19.81
8,20130320T013103.288447_23_aug_0.csv,104.17,0.28,18.7
9,20130320T013103.288447_23_aug_0.csv,263.61,44.17,15.09
10,20130320T013103.288447_23_aug_0.csv,293.89,29.44,16.2
